pop,ec50,contam,dist,Max_EROD
SP,0.002887378,0.98581272,152.5,100
GB,0.00178325,2.171535083,145.48,91.14795513
FB,0.006887777,1.396559953,105.43,95.01192068
HP,0.014141983,1.781079929,83.27,85.09762293
CB,0.10983339,2.122069752,80.86,65.64222807
PG,0.019576391,15.4870652,77.42,75.74985875
FP,0.036950783,5.747314409,73.94,85.56924363
BNP,0.257957494,6.641206991,49.85,71.57565487
SJSP,0.538095907,4.382931216,36.58,47.88862177
VB,89.0996767,100,28.58,36.2471343
PB,91.72469564,97.62548148,13.21,20.11275069
BB,1295.36827,82.96771262,0.1,15.80086945
